,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,16.418112,11.616222,5.4168224,2.925444,5.568048,-15.012701,0.999437,-10.843457,2.752222,5.1159115,9.516353,-0.033343315,8.500442,-15.334638,3.714159,-9.649303,-18.546558,-2.3149543,-12.499024,10.035775,-15.518864,-5.0510707,-4.726908,-24.830801,-18.1178,-24.990232,-0.38626945,-0.20761526,-4.957618,-12.216346,-2.7993426,8.696359,-3.6107664,-11.889999,12.859639,-13.725509,-11.806209,26.96256,0.5967592,-0.8730999,-2.144865,-14.787394,-7.030986,-1.8274612,2.1290643,-0.1440959,-14.80734,3.5232053,5.4739604,1.6861693,4.526364,3.5979633,4.4085584,3.5864735,-5.9615226,-6.092623,4.507442,-4.6583624,3.6954246,-10.125508,-5.6082454,7.86959,-5.3488975,2.4802737,-11.693342
1,3.0282845,10.88423,9.018596,5.857921,10.2263775,-9.850748,0.28110996,5.6321697,12.99015,-2.8702464,-9.753282,-2.2532856,1.7141544,-2.7906408,-8.214272,19.005327,2.6341083,0.43953353,-12.395491,-5.372213,-15.624558,0.12035184,-9.379932,-10.380464,-16.83806,5.0620847,8.2007885,-11.432441,21.529083,-11.253077,-3.691116,-17.904125,-8.393689,-13.658379,-9.173155,-3.8334332,-5.3776865,-7.3137665,-11.18415,0.8813996,1.7087688,-8.388604,-1.3233219,1.1224153,-21.37681,-0.6365661,-17.060955,-13.126559,-2.4426744,8.786967,4.933062,-0.5069553,3.440405,-8.213688,-5.323836,2.0302768,-0.30672094,9.935426,3.3233914,6.452733,8.894986,3.2682288,8.265482,-1.9635073,1.0408458
2,21.09025,10.063098,27.063385,17.354074,5.8077703,-21.476215,2.597803,-11.126776,4.4820566,-10.944836,-11.848297,-12.346366,6.9829583,0.9367443,-8.783805,0.668178,-14.9476385,-17.62155,14.097544,-14.8437,-13.485203,-7.908188,-12.377651,-13.893749,-26.548412,-18.220383,1.0903283,-2.1231596,-7.8819184,-3.8601117,-6.074056,-6.8861866,-7.48571,-6.7112575,-18.70216,-3.4111326,-5.450301,-7.808387,15.267191,0.60929894,-6.160321,-10.739197,-12.760592,4.422962,-0.4722348,-11.842987,-14.885564,4.368963,-14.920086,8.25653,-3.9207666,7.255396,-3.5515962,5.2131925,-7.889598,0.59969246,-3.313585,-10.141285,6.861824,-16.241434,-0.43833867,-10.401701,-2.0781927,9.294511,7.6392
3,23.9467,5.2614865,20.758326,6.496573,7.2957625,-25.077267,29.114386,-3.494288,7.078736,-4.7912145,-1.6217787,-0.7405623,6.7587466,5.05293,4.1224904,3.119417,-28.290825,-14.12353,-21.011192,-3.7364771,-10.720961,-15.565773,-16.682058,-35.033905,10.744832,-18.592304,14.503452,-24.786219,-5.920149,-20.291874,-28.156946,-13.041941,-6.6731973,-22.784525,-14.270107,-25.436092,-37.099743,-0.84688294,11.778506,-9.391287,-0.18710193,-14.860507,-10.187432,-11.70233,-27.229044,-7.0593777,-21.76024,-5.3867407,-15.5917225,3.457017,3.8091173,-3.0128224,5.2397594,-10.244631,8.668621,2.2291474,4.33769,-16.768396,-3.974938,-14.37887,-2.422376,-1.9103073,-14.099321,-7.0577645,-12.419095
4,23.292011,14.019275,16.578245,9.9772625,12.7505455,-16.443998,-11.823532,-6.405074,8.471605,-5.3224416,-8.676483,-14.4624195,7.5307245,-10.240696,-6.4497633,-2.0611756,-17.340239,-13.843872,2.0045152,-6.705093,-16.912897,-3.6844933,-10.911107,-19.020073,-48.263706,-20.391184,1.3193696,-0.94770336,-4.8241153,-3.7733972,4.375576,-5.81361,-3.3501494,-13.055744,-14.197049,-7.4575324,-0.48001686,-2.2526433,7.7503147,3.4814396,-10.290536,-9.939075,-20.531063,-2.3188834,0.7899366,0.6798892,-10.325632,11.520716,-8.085418,0.039972343,4.0116677,7.266804,-3.357551,-3.0715146,-13.102871,-0.4431711,-5.8424244,-7.218445,6.566136,-15.378074,-0.34795102,-6.751888,-4.759249,10.1825285,-7.030878
5,16.420883,20.60591,12.121407,9.665053,5.532345,-14.894515,-3.7622046,12.18918,8.965159,0.14367017,-13.062677,-16.98904,1.084273,-9.255504,-5.1162486,1.5603801,2.0508595,8.185954,2.502913,-6.986208,-7.6926208,-3.990557,-9.131848,-7.289924,-31.634499,-4.0169744,6.6005945,6.5129848,5.147424,-8.321353,-1.954391,-22.99782,-3.5518038,-6.081663,-13.212235,-21.248293,-4.5103164,-2.14658,-8.927614,4.129319,-19.249758,-3.5909808,-2.0747302,4.8481107,-27.267687,-10.06668,-16.123352,-0.77276635,-4.7309318,-2.4120116,2.3304045,1.8751594,-4.445732,-15.149461,-16.50593,-0.35542145,-3.121583,-3.776875,-1.6486933,-6.2275457,4.787588,-1.0794582,14.323345,4.557951,0.47160587
6,11.246648,7.933982,13.484557,14.225198,10.926485,-23.102686,-6.3575907,-3.3468137,11.828735,-4.4135585,2.524452,20.60813,8.1320305,-9.378489,-6.6599565,2.093373,-14.403579,-13.4564295,-12.623871,3.7951295,-21.22819,-3.1178718,-16.284624,-28.92435,-24.244614,-9.652611,-4.789163,-14.166715,2.9868708,-15.534905,-3.9944506,-3.7591844,-10.302371,-14.719231,-10.668411,17.570898,-12.435864,2.5984416,6.364478,-2.8669822,15.671594,-9.433937,-17.28331,-1.5570766,-3.5279946,-4.183192,-13.197166,-5.9220157,-6.4714065,14.850716,-1.0988113,4.2932315,4.208381,3.3820684,-10.458777,6.2695217,0.10649635,1.8603075,7.8708477,-3.8861067,1.6038615,1.3268408,-6.0604644,0.3311273,-7.124486
7,18.853441,11.4822035,13.789743,7.043798,15.035609,32.06185,15.569168,10.014757,-5.7597337,-1.5575897,-23.804321,-8.300593,4.489163,-3.0667717,-5.7389264,-4.6903863,-21.934486,-2.7115235,-29.321417,-21.919336,-16.161661,-4.8579774,-0.46208382,-13.042971,-15.096669,1.5087198,10.229673,-36.396595,-10.774852,-15.671243,-16.495934,-28.945433,-13.368998,-21.106684,-18.545137,-35.636143,-29.29741,-8.894269,1.1790098,-15.120608,-12.085885,7.4146986,-8.621874,-19.686028,-28.0558,7.567869,-7.3230305,-0.34634554,-0.33177295,-18.446842,-1.3059368,0.2617484,1.0002518,-22.348486,4.4189463,1.0661018,-3.486561,-12.252064,-17.062778,-2.8213453,0.6197223,-12.13602,-6.7063093,2.8178525,-11.785849
8,10.025507,16.491858,11.707105,6.5400095,8.970261,4.8644843,-5.9230905,-2.2114072,4.008333,-6.8662405,-12.913806,-20.837372,-2.5413742,-4.2295914,-1.0266274,-0.8685534,15.7622795,-4.7303886,1.9598637,-13.90396,-15.15425,-7.905128,4.817465,-6.096242,-33.852898,-10.01575,-1.9337493,-1.3717817,5.016766,1.4687922,-2.837951,-20.506344,-7.6522403,-8.12667,-16.222298,-10.923256,9.778952,-7.5148506,-6.724983,1.9339606,-11.333089,-4.7944646,-7.1679726,-4.158129,-7.4065385,-4.0792212,-0.8975526,-1.9880544,4.224147,-4.5044436,-2.390171,-0.35832393,0.83718777,-5.2447624,-8.7557745,-2.2846627,3.0925481,3.3304086,-2.0460339,-0.79642457,1.5520931,-4.8168015,4.5313025,5.37553,9.369171
9,18.379414,7.4986897,14.557272,11.980808,2.9858563,-13.5302725,-22.818819,-2.2308862,7.135487,-0.7440326,-5.012286,-9.447249,2.161375,-4.680562,-5.817704,11.953095,-21.26215,-12.583778,-10.737458,-7.0575905,-9.4786,-3.2802358,-4.843308,-15.3595,-58.895573,-12.993103,-6.0706096,-6.233644,-0.8482077,-5.5807295,11.98535,27.582388,1.4364772,-14.428221,-17.753372,-12.70639,-1.3962169,-11.03014,9.509831,14.306257,-14.679933,-21.049622,-22.051537,-0.93113124,-5.3471947,-4.510736,-1.9412187,11.832803,-11.706751,-4.0289187,10.820867,13.234418,-5.921204,7.065023,-10.787402,0.7158478,-8.375001,-10.722567,10.966798,-22.99332,5.458564,-0.7651562,-6.1735673,8.942956,-12.883337
